,0
EFCAB12,2
ERBB4,2
ERCC2,2
ERCC6,2
CYP2S1,2
DACT2,2
DBH,2
DBX2,2
DCAF12L1,2
ZFYVE16,2
ZCCHC6,2
ZCCHC8,2
ZCWPW1,2
ZFAND4,2
ZFAND5,2
ZBTB48,2
ZC3H3,2
ZC3H4,2
ZC3H7A,2
ABHD8,2
ZNF460,2
ZNF462,2
DNAH5,2
DNAH8,2
DNAJC21,2
DGKD,2
DCC,2
DCHS2,2
DCT,2
DCTN1,2
DDB1,2
DUSP18,2
DUSP28,2
DSC3,2
DSG1,2
DDX41,2
DEPTOR,2
EPB41L4B,2
ZZEF1,2
ZNF569,2
DICER1,2
DLEC1,2
DIEXF,2
ZNF84,2
ZNF841,2
ZNF696,2
ZNF707,2
ZNF600,2
ZNF641,2
ZNF541,2
ZNF546,2
A2M,2
DSC1,2
DNHD1,2
DMRTA1,2
DNAH1,2
DNAH11,2
DNAH14,2
ABCA8,2
ABCA9,2
ZNF75D,2
ZNF764,2
ZNF775,2
ZNF800,2
ABCA12,2
ABCA3,2
ABCA4,2
ZNF850,2
ZNF865,2
ABCC1,2
ZSCAN10,1
ZPBP,1
ZP2,1
ZNRF3,1
ZNHIT2,1
ZNF99,1
ZNF891,1
ZNF880,1
ZNF853,1
ZNF852,1
ZNF85,1
ZNF846,1
ABCB6,1
ABCC10,1
ABCC11,1
ABCC12,1
ABCC2,1
ABCC4,1
ABCC9,1
ABCD3,1
ABCF1,1
ABCG2,1
ABHD15,1
ZNF732,1
ZNF77,1
ZNF780B,1
ZNF804A,1
ZNF81,1
DHRS11,1
DHRS3,1
DHX15,1
DHX16,1
DHX32,1
DHX37,1
DHX38,1
DMBX1,1
DMGDH,1
DMKN,1
DMRTC2,1
DMXL2,1
DNAAF1,1
DNAH17,1
DIRC2,1
DIS3L,1
DNTT,1
DOCK10,1
DOCK4,1
DOK7,1
DNAH2,1
DNAI1,1
DNAJA4,1
DNAJB12,1
DNAJB8,1
DNAJC14,1
DNAJC18,1
DNAJC22,1
DNAJC6,1
DGKA,1
DGKI,1
DHDH,1
DPM3,1
DPP6,1
DPPA4,1
DPYD,1
DPYSL4,1
DPYSL5,1
DRD1,1
DRD5,1
DROSHA,1
DRP2,1
DNAJC7,1
DNAJC8,1
DNAL1,1
DNASE1L1,1
DNMT1,1
DNMT3A,1
DDX28,1
DDX39B,1
DDX46,1
DDX58,1
DDX6,1
DDX60,1
DEDD,1
DEF6,1
DEFA6,1
DENND1B,1
DEPDC5,1
DFNA5,1
DOPEY1,1
DPCR1,1
DPF1,1
DPF2,1
DYTN,1
