,,0
HELZ,PIK3CA,2
SETD1B,SFPQ,2
NEB,TENM3,2
CSMD3,PRKDC,2
MUC16,WDR65,2
CIT,KLHDC2,2
DNAH6,PIK3CA,2
PPFIA2,TIE1,2
CCNA1,TP53,2
GLTSCR1,KNDC1,2
FLT3,MUC16,2
COL11A2,TP53,2
TDRD15,USH2A,2
MYO5A,TTN,2
HUWE1,SYNE1,2
FOXC1,TP53,2
SCN5A,TP53,2
CCDC108,ZFHX3,2
DNAH12,TTN,2
CSMD3,SGPL1,2
ANKRD29,SUV39H1,2
NOP14,NOVA2,2
RASGRP4,TP53,2
PIK3CA,PODXL2,2
KIAA1244,MUC16,2
NOP14,PHACTR3,2
RXFP3,TTN,2
RPRD1B,WDR62,2
KIAA1244,OCRL,2
RASGRP4,TTN,2
HYDIN,UBR5,2
CYHR1,TP53,2
RASGRP4,USH2A,2
HSPH1,PIK3CA,2
DMXL1,HOMEZ,2
MED1,USH2A,2
MYO5A,WNK3,2
PDZD2,USH2A,2
ACACB,TP53,2
CYHR1,TTN,2
MED1,WNK3,2
PLEKHG1,TP53,2
ACACB,CDH4,2
HSPH1,TP53,2
KIAA1244,SAMD9L,2
CIC,GRID1,2
PPFIA2,TTN,2
FOXB1,RANBP2,2
RASA2,TP53,2
HTT,TTN,2
ACACB,ECT2L,2
CEP97,TP53,2
NEB,ZNF536,2
SALL4,TP53,2
GLTSCR1,SEC31A,2
TP53,TRPA1,2
TP53,TRPC7,2
EGFR,TP53,2
KIAA1244,TP53,2
AHNAK2,TP53,2
AK7,TTN,2
C11orf80,NHS,2
SALL4,TTN,2
ADCY2,AGXT,2
KIAA1244,USH2A,2
APLNR,TP53,2
IFT80,TP53,2
FLT3,TP53,2
NOP14,TAF4,2
SDK1,SELE,2
IRS1,TP53,2
PIK3CA,PKHD1,2
GAS1,TP53,2
PIK3CA,PPP2R3A,2
CCDC18,TP53,2
ANKRD29,ZNFX1,2
KIF20B,OR1M1,2
SDK1,TP53,2
NOP14,TP53,2
DMXL1,MUC16,2
SDK1,TTN,2
GAA,MED1,2
AL450307.1,CDH19,2
CAD,HERC3,2
KIAA2026,PIK3CA,2
CCDC18,PDZD2,2
PIK3CA,RASGRP4,2
DOCK2,TP53,2
MXRA5,PIK3CA,2
FAT2,MYO15A,2
LPA,TP53,2
FLII,MYO5A,2
AHNAK2,TTN,2
SELE,TP53,2
RELN,TP53,2
FEM1A,PHACTR3,2
SELE,TTN,2
GAA,MYO5A,2
NOVA2,PHACTR3,2
PIK3CA,RYR2,2
KMT2C,PIK3CB,2
ADCY2,DOCK9,2
COL20A1,TP53,2
KIF1A,NEB,2
ADCY2,ARSF,2
CSMD3,NOVA2,2
IGFN1,SYNE2,2
SPTBN5,YAP1,2
KERA,PIK3CA,2
MYH6,TP53,2
KIF20B,USH2A,2
ABCA13,CACNA1E,2
KIF1A,PIK3CA,2
GATA3,PIK3CA,2
PIK3CA,SLITRK4,2
PPFIA2,ZNF541,2
PIK3CA,TDRD15,2
AL450307.1,EPS8L3,2
DOCK9,PHOX2A,2
MXRA5,RYR2,2
KERA,TP53,2
KIAA0195,USH2A,2
DUSP18,TTN,2
KIF1A,ZCCHC6,2
FLII,NF1,2
KANSL3,ZNF84,2
ADCY2,BRCA2,2
FAT1,TP53,2
ABCA13,GATA3,2
KERA,ZMYM4,2
AGAP2,TP53,2
COL22A1,CSMD3,2
FAT3,GFRA2,2
RPRM,TP53,2
NCKAP1L,PIK3CA,2
PIBF1,TP53,2
KLHDC2,PDZD2,2
RPRM,VCAN,2
EDEM3,TP53,2
NOVA2,TAF4,2
GRHL1,TP53,2
SPEN,TTN,2
ABCA13,PDE3B,2
DNAH6,ZNF800,2
FRAS1,TENM2,2
SI,TP53,2
C2CD3,CACNA1H,2
MYOC,SUV39H1,2
COL17A1,COL1A1,2
ADCY2,PHOX2A,2
PSD3,TTN,2
NOVA2,TP53,2
CAD,NEB,2
CCDC33,TP53,2
PIK3CA,USH2A,2
GSN,MYO7B,2
CSMD3,PPFIA2,2
GFRA1,TP53,2
ABCA13,SPEN,2
CCDC18,TTN,2
UGGT2,USP9X,2
FAT3,TP53,2
FOXP4,PIK3CA,2
ITGA8,TP53,2
C2CD3,DACT2,2
MYOC,TTN,2
ABCA13,TTN,2
LAMA2,TACR3,2
FAT1,ZNF462,2
CFH,TP53,2
RP11-433C9.2,TP53,2
ARSF,UGGT2,2
JADE3,OR2M2,2
GSE1,TP53,2
PIK3CA,ZMYM4,2
DOCK9,WISP1,2
MXRA5,TTN,2
KIAA1109,ZNFX1,2
EPPK1,TP53,2
PKHD1,PPP1R3A,2
PPARD,TP53,2
GSE1,HIVEP3,2
RIMS2,TP53,2
CIC,TCHH,2
COL6A5,ELF4,2
CSMD3,GAPDHS,2
LAMA2,TP53,2
GATA3,LRIT1,2
ADCY2,TP53,2
HUWE1,NPDC1,2
SETD1B,ZSWIM6,2
CSMD3,WNT10A,2
CSMD3,USH2A,2
C6,TTN,2
CIC,TTN,2
GAA,USH2A,2
GATA3,RBL2,2
OVCH1,TACR3,2
TAS1R1,TP53,2
TAS1R1,TPR,2
CHST12,TP53,2
CCDC18,RNF14,2
CHST12,TTN,2
SLC26A7,TP53,2
NBEAL2,PKHD1,2
TP53,ZNF546,2
TP53,ZNF865,2
GAA,WNK3,2
JADE3,UBR4,2
MYOC,ZNFX1,2
COL22A1,FAM124B,2
EVPL,NF1,2
CAD,ZNF536,2
EDEM3,GPRIN1,2
OPHN1,TP53,2
COL12A1,TP53,2
CDH19,EPS8L3,2
CEP97,WDFY2,2
BIRC6,CALB2,2
PIK3CA,TBKBP1,2
CIT,PDZD2,2
SHANK2,TP53,2
NOVA2,PPFIA2,2
MED12L,PIK3CA,2
GFRA2,TP53,2
BIRC6,DNM3,2
FLII,PDZD2,2
GABPB2,TACR3,2
GABPB2,TP53,2
MED12L,SYNE2,2
ABCA9,TP53,2
GLTSCR1,PIK3CA,2
